tank_id	time	pH	temp	quantity_liters
98	2025-01-07 18:00:00	3.6	25.59	807
74	2025-01-08 20:00:00	3.74	23.1	867
36	2025-01-02 04:00:00	3.4	27.95	749
16	2025-01-07 01:00:00	3.81	26.81	
2	2025-01-09 20:00:00	3.03	26.41	258
83	2025-01-05 23:00:00	3.48	24.46	222
35	2025-01-05 20:00:00	3.72	24.74	742
53	2025-01-09 07:00:00	3.62	25.7	458
32	2025-01-05 11:00:00	3.86	23.85	393
16	2025-01-08 15:00:00	3.03	27.44	
99	2025-01-01 06:00:00	3.41	22.58	460
78	2025-01-10 10:00:00	3.15	27.5	
29	2025-01-05 08:00:00	4.0	22.6	910
70	2025-01-01 05:00:00	3.56	23.54	529
61	2025-01-07 15:00:00	3.11	22.17	216
66	2025-01-08 22:00:00	3.41	27.51	528
87	2025-01-11 15:00:00	3.95	25.76	
58	2025-01-01 01:00:00	3.32	24.99	209
9	2025-01-01 01:00:00	3.74	26.29	
73	2025-01-11 12:00:00	3.95	24.37	817
87	2025-01-06 22:00:00	3.4	22.02	722
75	2025-01-02 01:00:00	3.67	26.73	804
9	2025-01-01 19:00:00	3.3	26.94	899
95	2025-01-09 11:00:00	3.74	25.1	788
17	2025-01-06 21:00:00	3.94	25.17	964
81	2025-01-06 22:00:00	3.35	26.5	602
57	2025-01-06 19:00:00	3.02	27.01	955
63	2025-01-07 08:00:00	3.27	27.08	215
25	2025-01-10 17:00:00	3.49	22.52	735
56	2025-01-02 13:00:00	3.39	23.98	402
82	2025-01-09 08:00:00	3.35	23.14	483
75	2025-01-01 23:00:00	3.37	27.79	941
55	2025-01-06 01:00:00	3.92	23.47	304
17	2025-01-05 23:00:00	3.79	27.14	263
19	2025-01-05 09:00:00	3.64	27.17	647
90	2025-01-05 01:00:00	3.28	26.86	871
17	2025-01-02 02:00:00	3.88	26.19	
8	2025-01-01 13:00:00	3.34	22.83	807
27	2025-01-10 05:00:00	3.52	25.77	211
83	2025-01-02 12:00:00	3.02	25.26	
42	2025-01-06 00:00:00	3.34	22.11	913
26	2025-01-01 01:00:00	3.47	24.63	471
41	2025-01-01 23:00:00	3.48	27.78	426
71	2025-01-04 20:00:00	3.14	22.12	668
25	2025-01-03 15:00:00	3.97	23.71	621
14	2025-01-05 16:00:00	3.01	23.24	
