tank_id	grape_variety	capacity_liters
1	NuragusBalsamico,ChardonnayRobusto,ChardonnayPrezioso	1507
2	NiedderaSelezionato,TorbatoAromatico,MerlotPrezioso	1417
3	GrecoElegante,NiedderaBarricato,CannonauRobusto	1773
4	PrimitivoIntenso,PrimitivoSpeziato,SemidanoDorato	1047
5	DolcettoAromatico,GrilloAvvolgente,GrecoRubino	1070
6	ChardonnayVigoroso,DolcettoSapido,SemidanoVigoroso	1341
7	SyrahSapido,CarignanoAntico,CannonauAromatico	1621
8	SangioveseFruttato,GrecoAvvolgente,TrebbianoFruttato	1653
9	RieslingNobile,TorbatoMaestoso,TeroldegoVivace	1215
10	AglianicoAvvolgente,CannonauSplendido,GiroPregiato	1078
11	CannonauRaffinato,PascalePrezioso,FalanghinaBalsamico	1532
12	GrenacheSapido,MonicaVigoroso,MalbecRegale	1309
13	NegroamaroFragrante,PrimitivoDorato,SemidanoAureo	1403
14	CarignanoSuperiore,ChardonnayBarricato,ZinfandelSublime	1271
15	NegroamaroPregiato,CabernetVivace,FalanghinaBalsamico	1584
16	NebbioloVigoroso,CarignanoPregiato,AglianicoAntico	1712
17	GrilloAvvolgente,CorteseElegante,CorteseVigoroso	1541
18	NascoMaestoso,TrebbianoRegale,VermentinoOpulento	1264
19	VernacciaClassico,ArneisSuperiore,ZinfandelSpeziato	1425
20	FalanghinaNobile,CorteseBarricato,BarberaFruttato	1659
21	CorteseBarricato,MonicaGeneroso,GrilloSuperiore	1579
22	SagrantinoRobusto,DolcettoSapido,MerlotVivace	1224
23	SemidanoSolare,PrimitivoSolare,TempranilloRubino	1289
24	SangioveseRinomato,BarberaAvvolgente,PascaleSublime	1208
25	CabernetBalsamico,GrilloSolare,GarganegaClassico	1395
26	RieslingPregiato,NiedderaBarricato,MoscatoSpeziato	1391
27	NegroamaroIntenso,MalvasiaDorato,RieslingSpeziato	1767
28	CannonauRobusto,CorvinaArmonico,NascoAureo	1688
29	MonicaSelezionato,SemidanoNobile,MonicaVivace	1762
30	VerdicchioGeneroso,MoscatoSolare,MerlotVivace	1350
31	NebbioloSpeziato,VerdicchioMaestoso,CorteseDorato	1644
32	TeroldegoRegale,NuragusAureo,NuragusBalsamico	1776
33	CorteseBarricato,SangioveseRegale,MalbecStorico	1771
34	TempranilloSplendido,ChardonnayElegante,CabernetDorato	1057
35	RieslingFragrante,BarberaAmbrato,CarignanoSuperiore	1015
36	PrimitivoSolare,GrecoAvvolgente,ChardonnayBarricato	1460
37	SangioveseAntico,VernacciaVigoroso,BovaleRaffinato	1257
38	NiedderaAvvolgente,BarberaSublime,BovaleAromatico	1280
39	DolcettoArmonico,CaricagiolaSublime,ChardonnaySelezionato	1659
40	AglianicoRaffinato,MalbecFruttato,BarberaCorposo	1245
41	BovaleVivace,PrimitivoRegale,AglianicoGeneroso	1796
42	DolcettoRustico,SangioveseFruttato,VerdicchioGeneroso	1527
43	FianoFruttato,SyrahIntenso,DolcettoAromatico	1364
44	NebbioloPrezioso,MalvasiaAureo,CorteseMaestoso	1501
45	TrebbianoOpulento,MalbecBarricato,ArneisElegante	1027
46	MonicaGeneroso,ZinfandelElegante,SangioveseVivace	1430
47	CorvinaStorico,MontepulcianoIntenso,MonicaSpeziato	1327
48	NegroamaroRobusto,CannonauAromatico,BarberaRinomato	1031
49	DolcettoAmbrato,SagrantinoGenuino,MoscatoRaffinato	1127
50	TorbatoSublime,CabernetRobusto,MoscatoRaffinato	1317
51	NebbioloSpeziato,MalbecCorposo,ArneisAntico	1682
52	PrimitivoSapido,NiedderaSpeziato,TorbatoArmonico	1569
53	MalbecStorico,RieslingGeneroso,SemidanoSapido	1472
54	MalbecStorico,SangioveseAntico,ChardonnayRobusto	1024
55	RieslingPregiato,GarganegaArmonico,ArneisArmonico	1628
56	CaricagiolaDorato,GarganegaRinomato,CaricagiolaSublime	1460
57	CannonauGeneroso,SangioveseNobile,VermentinoClassico	1721
58	MerlotBalsamico,GiroSublime,MonicaPrezioso	1084
59	MalbecAureo,AglianicoVellutato,GiroPregiato	1429
60	VermentinoSplendido,CorvinaSpeziato,MerlotAromatico	1333
61	NebbioloGenuino,ZinfandelArmonico,MerlotPrezioso	1762
62	MerlotOpulento,BovaleAromatico,MalvasiaDorato	1209
63	NuragusSpeziato,MerlotArmonico,NegroamaroVivace	1278
64	CorteseFruttato,GrecoOpulento,SyrahBalsamico	1568
65	TempranilloPrezioso,SyrahFruttato,ChardonnayRobusto	1420
66	VerdicchioMaestoso,MalbecRaffinato,TorbatoGeneroso	1543
67	GrenacheRinomato,TorbatoAmbrato,BarberaAmbrato	1564
68	PrimitivoAureo,SangioveseSuperiore,ChardonnayRegale	1620
69	DolcettoArmonico,CabernetDorato,MoscatoElegante	1682
70	BarberaCorposo,GrecoMaestoso,TempranilloAromatico	1166
71	GrilloSuperiore,VernacciaRaffinato,BarberaAvvolgente	1109
72	CaricagiolaAromatico,VernacciaVigoroso,VermentinoAureo	1301
73	ArneisSuperiore,ChardonnayBarricato,RieslingRinomato	1330
74	NascoStorico,CaricagiolaAromatico,SagrantinoIntenso	1555
75	CorvinaOpulento,CabernetBalsamico,SangioveseSublime	1230
76	CannonauMorbido,MoscatoSolare,TorbatoSublime	1505
77	AglianicoRaffinato,CaricagiolaMaestoso,SemidanoSpeziato	1054
